OpcodeBytes,OperandBytes,FirstOperandMask,FirstOperandHexDec,FirstOperandSignedUnsigned,SecondOperandMask,SecondOperandHexDec,SecondOperandSignedUnsigned,AssemblyString
5E,0000,FFFF,H,U,,,,"LSR ?,X"
5F,000000,FFFFFF,H,U,,,,"EOR ?,X"
60,,,,,,,,"RTS"
61,00,FF,H,U,,,,"ADC (?,X)"
62,0000,FFFF,H,S,,,,"PER ?"
63,00,FF,H,S,,,,"ADC ?,S"
64,00,FF,H,U,,,,"STZ ?"
65,00,FF,H,U,,,,"ADC ?"
66,00,FF,H,U,,,,"ROR ?"
67,00,FF,H,U,,,,"ADC [?]"
68,,,,,,,,"PLA"
69,00,FF,H,U,,,,"ADC #?"
6A,,,,,,,,"ROR A"
6B,,,,,,,,"RTL"
6C,0000,FFFF,H,U,,,,"JMP (?)"
6D,0000,FFFF,H,U,,,,"ADC ?"
6E,0000,FFFF,H,U,,,,"ROR ?"
6F,000000,FFFFFF,H,U,,,,"ADC ?"
70,00,FF,H,S,,,,"BVS ?"
71,00,FF,H,U,,,,"ADC (?),Y"
72,00,FF,H,U,,,,"ADC (?)"
73,00,FF,H,S,,,,"ADC (?,S),Y"
74,00,FF,H,U,,,,"STZ ?,X"
75,00,FF,H,U,,,,"ADC ?,X"
76,00,FF,H,U,,,,"ROR ?,X"
77,00,FF,H,U,,,,"ADC [?],Y"
78,,,,,,,,"SEI"
79,0000,FFFF,H,U,,,,"ADC ?,Y"
7A,,,,,,,,"PLY A"
7B,,,,,,,,"TDC"
7C,0000,FFFF,H,U,,,,"JMP (?,X)"
7D,0000,FFFF,H,U,,,,"ADC ?,X"
7E,0000,FFFF,H,U,,,,"ROR ?,X"
7F,000000,FFFFFF,H,U,,,,"ADC ?,X"
80,00,FF,H,S,,,,"BRA ?"
81,00,FF,H,U,,,,"STA (?,X)"
82,0000,FFFF,H,S,,,,"BRL ?"
83,00,FF,H,S,,,,"STA ?,S"
84,00,FF,H,U,,,,"STY ?"
85,00,FF,H,U,,,,"STA ?"
86,00,FF,H,U,,,,"STX ?"
87,00,FF,H,U,,,,"STA [?]"
88,,,,,,,,"DEY"
89,00,FF,H,U,,,,"BIT #?"
8A,,,,,,,,"TXA"
8B,,,,,,,,"PHB"
8C,0000,FFFF,H,U,,,,"STY ?"
8D,0000,FFFF,H,U,,,,"STA ?"
8E,0000,FFFF,H,U,,,,"STX ?"
8F,000000,FFFFFF,H,U,,,,"STA ?"
90,00,FF,H,S,,,,"BCC ?"
91,00,FF,H,U,,,,"STA (?),Y"
92,00,FF,H,U,,,,"STA (?)"
93,00,FF,H,S,,,,"STA (?,S),Y"
94,00,FF,H,U,,,,"STY ?,X"
95,00,FF,H,U,,,,"STA ?,X"
96,00,FF,H,U,,,,"STX ?,Y"
97,00,FF,H,U,,,,"STA [?],Y"
98,,,,,,,,"TYA"
99,0000,FFFF,H,U,,,,"STA ?,Y"
9A,,,,,,,,"TXS"
9B,,,,,,,,"TXY"
9C,0000,FFFF,H,U,,,,"STZ ?"
9D,0000,FFFF,H,U,,,,"STA ?,X"
9E,0000,FFFF,H,U,,,,"STZ ?,X"
9F,000000,FFFFFF,H,U,,,,"STA ?,X"
A0,00,FF,H,U,,,,"LDY #?"
A1,00,FF,H,U,,,,"LDA (?,X)"
A2,00,FF,H,U,,,,"LDX #?"
A3,00,FF,H,S,,,,"LDA ?,S"
A4,00,FF,H,U,,,,"LDY ?"
A5,00,FF,H,U,,,,"LDA ?"
A6,00,FF,H,U,,,,"LDX ?"
A7,00,FF,H,U,,,,"LDA [?]"
A8,,,,,,,,"TAY"
A9,00,FF,H,U,,,,"LDA #?"
AA,,,,,,,,"TAX"
AB,,,,,,,,"PLB"
AC,0000,FFFF,H,U,,,,"LDY ?"
AD,0000,FFFF,H,U,,,,"LDA ?"
AE,0000,FFFF,H,U,,,,"LDX ?"
AF,000000,FFFFFF,H,U,,,,"LDA ?"
B0,00,FF,H,S,,,,"BCS ?"
B1,00,FF,H,U,,,,"LDA (?),Y"
B2,00,FF,H,U,,,,"LDA (?)"
B3,00,FF,H,S,,,,"LDA (?,S),Y"
B4,00,FF,H,U,,,,"LDY ?,X"
B5,00,FF,H,U,,,,"LDA ?,X"
B6,00,FF,H,U,,,,"LDX ?,Y"
B7,00,FF,H,U,,,,"LDA [?],Y"
B8,,,,,,,,"CLV"
B9,0000,FFFF,H,U,,,,"LDA ?,Y"
BA,,,,,,,,"TSX"
BB,,,,,,,,"TYX"
BC,0000,FFFF,H,U,,,,"LDY ?,X"
BD,0000,FFFF,H,U,,,,"LDA ?,X"
BE,0000,FFFF,H,U,,,,"LDX ?,Y"
BF,000000,FFFFFF,H,U,,,,"LDA ?,X"
C0,00,FF,H,U,,,,"CPY #?"
C1,00,FF,H,U,,,,"CMP (?,X)"
C2,00,FF,H,U,,,,"REP #?"
C3,00,FF,H,S,,,,"CMP ?,S"
C4,00,FF,H,U,,,,"CPY ?"
C5,00,FF,H,U,,,,"CMP ?"
C6,00,FF,H,U,,,,"DEC ?"
C7,00,FF,H,U,,,,"CMP [?]"
C8,,,,,,,,"INY"
C9,00,FF,H,U,,,,"CMP #?"
CA,,,,,,,,"DEX"
CB,,,,,,,,"WAI"
CC,0000,FFFF,H,U,,,,"CPY ?"
CD,0000,FFFF,H,U,,,,"CMP ?"
CE,0000,FFFF,H,U,,,,"DEC ?"
CF,000000,FFFFFF,H,U,,,,"CMP ?"
D0,00,FF,H,S,,,,"BNE ?"
D1,00,FF,H,U,,,,"CMP (?),Y"
D2,00,FF,H,U,,,,"CMP (?)"
D3,00,FF,H,S,,,,"CMP (?,S),Y"
D4,00,FF,H,U,,,,"PEI ?"
D5,00,FF,H,U,,,,"CMP ?,X"
D6,00,FF,H,U,,,,"DEC ?,X"
D7,00,FF,H,U,,,,"CMP [?],Y"
D8,,,,,,,,"CLD"
D9,0000,FFFF,H,U,,,,"CMP ?,Y"
DA,,,,,,,,"PHX A"
DB,,,,,,,,"STP"
DC,0000,FFFF,H,U,,,,"JMP [?]"
DD,0000,FFFF,H,U,,,,"CMP ?,X"
DE,0000,FFFF,H,U,,,,"DEC ?,X"
DF,000000,FFFFFF,H,U,,,,"CMP ?,X"
E0,00,FF,H,U,,,,"CPX #?"
E1,00,FF,H,U,,,,"SBC (?,X)"
E2,00,FF,H,U,,,,"SEP #?"
E3,00,FF,H,S,,,,"SBC ?,S"
E4,00,FF,H,U,,,,"CPX ?"
E5,00,FF,H,U,,,,"SBC ?"
E6,00,FF,H,U,,,,"INC ?"
E7,00,FF,H,U,,,,"SBC [?]"
E8,,,,,,,,"INX"
E9,00,FF,H,U,,,,"SBC #?"
EA,,,,,,,,"NOP"
EB,,,,,,,,"XBA"
EC,0000,FFFF,H,U,,,,"CPX ?"
ED,0000,FFFF,H,U,,,,"SBC ?"
EE,0000,FFFF,H,U,,,,"INC ?"
EF,000000,FFFFFF,H,U,,,,"SBC ?"
F0,00,FF,H,S,,,,"BEQ ?"
F1,00,FF,H,U,,,,"SBC (?),Y"
F2,00,FF,H,U,,,,"SBC (?)"
F3,00,FF,H,S,,,,"SBC (?,S),Y"
F4,0000,FFFF,H,U,,,,"PEA #?"
F5,00,FF,H,U,,,,"SBC ?,X"
F6,00,FF,H,U,,,,"INC ?,X"
F7,00,FF,H,U,,,,"SBC [?],Y"
F8,,,,,,,,"SED"
F9,0000,FFFF,H,U,,,,"SBC ?,Y"
FA,,,,,,,,"PLX A"
FB,,,,,,,,"XCE"
FC,0000,FFFF,H,U,,,,"JSR (?,X)"
FD,0000,FFFF,H,U,,,,"SBC ?,X"
FE,0000,FFFF,H,U,,,,"INC ?,X"
FF,000000,FFFFFF,H,U,,,,"SBC ?,X"
