OpcodeBytes,OperandBytes,OperandArgumentMask,ArgumentHexDec,ArgumentSignedUnsigned,DasmString
BD,0000,FFFF,H,U,"LDA ?,X"
BE,0000,FFFF,H,U,"LDX ?,Y"
C0,00,FF,H,U,"CPY #?"
C1,00,FF,H,U,"CMP (?,X)"
C4,00,FF,H,U,"CPY ?"
C5,00,FF,H,U,"CMP ?"
C6,00,FF,H,U,"DEC ?"
C8,,,,,"INY"
C9,00,FF,H,U,"CMP #?"
CA,,,,,"DEX"
CC,0000,FFFF,H,U,"CPY ?"
CD,0000,FFFF,H,U,"CMP ?"
CE,0000,FFFF,H,U,"DEC ?"
D0,00,FF,H,S,"BNE ?"
D1,00,FF,H,U,"CMP (?),Y"
D5,00,FF,H,U,"CMP ?,X"
D6,00,FF,H,U,"DEC ?,X"
D8,,,,,"CLD"
D9,0000,FFFF,H,U,"CMP ?,Y"
DD,0000,FFFF,H,U,"CMP ?,X"
DE,0000,FFFF,H,U,"DEC ?,X"
E0,00,FF,H,U,"CPX #?"
E1,00,FF,H,U,"SBC (?,X)"
E4,00,FF,H,U,"CPX ?"
E5,00,FF,H,U,"SBC ?"
E6,00,FF,H,U,"INC ?"
E8,,,,,"INX"
E9,00,FF,H,U,"SBC #?"
EA,,,,,"NOP"
EC,0000,FFFF,H,U,"CPX ?"
ED,0000,FFFF,H,U,"SBC ?"
EE,0000,FFFF,H,U,"INC ?"
F0,00,FF,H,S,"BEQ ?"
F1,00,FF,H,U,"SBC (?),Y"
F5,00,FF,H,U,"SBC ?,X"
F6,00,FF,H,U,"INC ?,X"
F8,,,,,"SED"
F9,0000,FFFF,H,U,"SBC ?,Y"
FD,0000,FFFF,H,U,"SBC ?,X"
FE,0000,FFFF,H,U,"INC ?,X"
