OpcodeBytes,OperandBytes,FirstOperandMask,FirstOperandHexDec,FirstOperandSignedUnsigned,SecondOperandMask,SecondOperandHexDec,SecondOperandSignedUnsigned,AssemblyString
54,00,FF,H,U,,,,"EOR A, ?+X"
55,0000,FFFF,H,U,,,,"EOR A, ?+X"
56,0000,FFFF,H,U,,,,"EOR A, ?+Y"
57,00,FF,H,U,,,,"EOR A, [?]+Y"
58,0000,FF00,H,U,00FF,H,U,"EOR ^, #?"
59,,,,,,,,"EOR (X), (Y)"
5A,00,FF,H,U,,,,"CMPW YA, ?"
5B,00,FF,H,U,,,,"LSR ?+x"
5C,,,,,,,,"LSR A"
5D,,,,,,,,"MOV X, A"
5E,0000,FFFF,H,U,,,,"CMP Y, ?"
5F,0000,FFFF,H,U,,,,"JMP ?"
60,,,,,,,,"CLRC"
61,,,,,,,,"TCALL 6"
62,00,FF,H,U,,,,"SET1 ?.3"
63,0000,FF00,H,U,00FF,H,S,"BBS ?.3, ^"
64,00,FF,H,U,,,,"CMP A, ?"
65,0000,FFFF,H,U,,,,"CMP A, ?"
66,,,,,,,,"CMP A, (X)"
67,00,FF,H,U,,,,"CMP A, [?+X]"
68,00,FF,H,U,,,,"CMP A, #?"
69,0000,FF00,H,U,00FF,H,U,"CMP ^, ?"
6A,0000,FF1F,H,U,00E0,D,U,"AND1 C, /?.^"
6B,00,FF,H,U,,,,"ROR ?"
6C,0000,FFFF,H,U,,,,"ROR ?"
6D,,,,,,,,"PUSH Y"
6E,0000,FF00,H,U,00FF,H,S,"DBNZ ?, ^"
6F,,,,,,,,"RET"
70,00,FF,H,S,,,,"BVS ?"
71,,,,,,,,"TCALL 7"
72,00,FF,H,U,,,,"CLR1 ?.3"
73,0000,FF00,H,U,00FF,H,S,"BBC ?.3, ^"
74,00,FF,H,U,,,,"CMP A, ?+X"
75,0000,FFFF,H,U,,,,"CMP A, ?+X"
76,0000,FFFF,H,U,,,,"CMP A, ?+Y"
77,00,FF,H,U,,,,"CMP A, [?]+Y"
78,0000,FF00,H,U,00FF,H,U,"CMP ^, #?"
79,,,,,,,,"CMP (X), (Y)"
7A,00,FF,H,U,,,,"ADDW YA, ?"
7B,00,FF,H,U,,,,"ROR ?+x"
7C,,,,,,,,"ROR A"
7D,,,,,,,,"MOV A, X"
7E,00,FF,H,U,,,,"CMP Y, ?"
7F,,,,,,,,"RETI"
80,,,,,,,,"SETC"
81,,,,,,,,"TCALL 8"
82,00,FF,H,U,,,,"SET1 ?.4"
83,0000,FF00,H,U,00FF,H,S,"BBS ?.4, ^"
84,00,FF,H,U,,,,"ADC A, ?"
85,0000,FFFF,H,U,,,,"ADC A, ?"
86,,,,,,,,"ADC A, (X)"
87,00,FF,H,U,,,,"ADC A, [?+X]"
88,00,FF,H,U,,,,"ADC A, #?"
89,0000,FF00,H,U,00FF,H,U,"ADC ^, ?"
8A,0000,FF1F,H,U,00E0,D,U,"EOR1 C, ?.^"
8B,00,FF,H,U,,,,"DEC ?"
8C,0000,FFFF,H,U,,,,"DEC ?"
8D,00,FF,H,U,,,,"MOV Y, #?"
8E,,,,,,,,"POP PSW"
8F,0000,FF00,H,U,00FF,H,U,"MOV ^, #?"
90,00,FF,H,S,,,,"BCC ?"
91,,,,,,,,"TCALL 9"
92,00,FF,H,U,,,,"CLR1 ?.4"
93,0000,FF00,H,U,00FF,H,S,"BBC ?.4, ^"
94,00,FF,H,U,,,,"ADC A, ?+X"
95,0000,FFFF,H,U,,,,"ADC A, ?+X"
96,0000,FFFF,H,U,,,,"ADC A, ?+Y"
97,00,FF,H,U,,,,"ADC A, [?]+Y"
98,0000,FF00,H,U,00FF,H,U,"ADC ^, #?"
99,,,,,,,,"ADC (X), (Y)"
9A,00,FF,H,U,,,,"SUBW YA, ?"
9B,00,FF,H,U,,,,"DEC ?+x"
9C,,,,,,,,"DEC A"
9D,,,,,,,,"MOV X, SP"
9E,,,,,,,,"DIV YA, X"
9F,,,,,,,,"XCN A"
A0,,,,,,,,"EI"
A1,,,,,,,,"TCALL 10"
A2,00,FF,H,U,,,,"SET1 ?.5"
A3,0000,FF00,H,U,00FF,H,S,"BBS ?.5, ^"
A4,00,FF,H,U,,,,"SBC A, ?"
A5,0000,FFFF,H,U,,,,"SBC A, ?"
A6,,,,,,,,"SBC A, (X)"
A7,00,FF,H,U,,,,"SBC A, [?+X]"
A8,00,FF,H,U,,,,"SBC A, #?"
A9,0000,FF00,H,U,00FF,H,U,"SBC ^, ?"
AA,0000,FF1F,H,U,00E0,D,U,"MOV1 C, ?.^"
AB,00,FF,H,U,,,,"INC ?"
AC,0000,FFFF,H,U,,,,"INC ?"
AD,00,FF,H,U,,,,"CMP Y, #?"
AE,,,,,,,,"POP A"
AF,,,,,,,,"MOV (X)+, A"
B0,00,FF,H,S,,,,"BCS ?"
B1,,,,,,,,"TCALL 11"
B2,00,FF,H,U,,,,"CLR1 ?.5"
B3,0000,FF00,H,U,00FF,H,S,"BBC ?.5, ^"
B4,00,FF,H,U,,,,"SBC A, ?+X"
B5,0000,FFFF,H,U,,,,"SBC A, ?+X"
B6,0000,FFFF,H,U,,,,"SBC A, ?+Y"
B7,00,FF,H,U,,,,"SBC A, [?]+Y"
B8,0000,FF00,H,U,00FF,H,U,"SBC ^, #?"
B9,,,,,,,,"SBC (X), (Y)"
BA,00,FF,H,U,,,,"MOVW YA, ?"
BB,00,FF,H,U,,,,"INC ?+x"
BC,,,,,,,,"INC A"
BD,,,,,,,,"MOV SP, X"
BE,,,,,,,,"DAS A"
BF,,,,,,,,"MOV A, (X)+"
C0,,,,,,,,"DI"
C1,,,,,,,,"TCALL 12"
C2,00,FF,H,U,,,,"SET1 ?.6"
C3,0000,FF00,H,U,00FF,H,S,"BBS ?.6, ^"
C4,00,FF,H,U,,,,"MOV ?, A"
C5,0000,FFFF,H,U,,,,"MOV ?, A"
C6,,,,,,,,"MOV (X), A"
C7,00,FF,H,U,,,,"MOV [?+X], A"
C8,00,FF,H,U,,,,"CMP X, #?"
C9,0000,FFFF,H,U,,,,"MOV ?, X"
CA,0000,FF1F,H,U,00E0,D,U,"MOV1 ?.^, C"
CB,00,FF,H,U,,,,"MOV ?, Y"
CC,0000,FFFF,H,U,,,,"MOV ?, Y"
CD,00,FF,H,U,,,,"MOV X, #?"
CE,,,,,,,,"POP X"
CF,,,,,,,,"MUL YA"
D0,00,FF,H,S,,,,"BNE ?"
D1,,,,,,,,"TCALL 13"
D2,00,FF,H,U,,,,"CLR1 ?.6"
D3,0000,FF00,H,U,00FF,H,S,"BBC ?.6, ^"
D4,00,FF,H,U,,,,"MOV ?+X, A"
D5,0000,FFFF,H,U,,,,"MOV ?+X, A"
D6,0000,FFFF,H,U,,,,"MOV ?+Y, A"
D7,00,FF,H,U,,,,"MOV [?]+Y, A"
D8,00,FF,H,U,,,,"MOV ?, X"
D9,00,FF,H,U,,,,"MOV ?+Y, X"
DA,00,FF,H,U,,,,"MOVW ?, YA"
DB,00,FF,H,U,,,,"MOV ?+x, Y"
DC,,,,,,,,"DEC Y"
DD,,,,,,,,"MOV A, Y"
DE,0000,FF00,H,U,00FF,H,S,"CBNE ?+X, ^"
DF,,,,,,,,"DAA A"
E0,,,,,,,,"CLRV"
E1,,,,,,,,"TCALL 14"
E2,00,FF,H,U,,,,"SET1 ?.7"
E3,0000,FF00,H,U,00FF,H,S,"BBS ?.7, ^"
E4,00,FF,H,U,,,,"MOV A, ?"
E5,0000,FFFF,H,U,,,,"MOV A, ?"
E6,,,,,,,,"MOV A, (X)"
E7,00,FF,H,U,,,,"MOV A, [?+X]"
E8,00,FF,H,U,,,,"MOV A, #?"
E9,0000,FFFF,H,U,,,,"MOV X, ?"
EA,0000,FF1F,H,U,00E0,D,U,"NOT1 ?.^"
EB,00,FF,H,U,,,,"MOV Y, ?"
EC,0000,FFFF,H,U,,,,"MOV Y, ?"
ED,,,,,,,,"NOTC"
EE,,,,,,,,"POP Y"
EF,,,,,,,,"SLEEP"
F0,00,FF,H,S,,,,"BEQ ?"
F1,,,,,,,,"TCALL 15"
F2,00,FF,H,U,,,,"CLR1 ?.7"
F3,0000,FF00,H,U,00FF,H,S,"BBC ?.7, ^"
F4,00,FF,H,U,,,,"MOV A, ?+X"
F5,0000,FFFF,H,U,,,,"MOV A, ?+X"
F6,0000,FFFF,H,U,,,,"MOV A, ?+Y"
F7,00,FF,H,U,,,,"MOV A, [?]+Y"
F8,00,FF,H,U,,,,"MOV X, ?"
F9,00,FF,H,U,,,,"MOV X, ?+Y"
FA,0000,FF00,H,U,00FF,H,U,"MOV ^, ?"
FB,00,FF,H,U,,,,"MOV Y, ?+x"
FC,,,,,,,,"INC Y"
FD,,,,,,,,"MOV Y, A"
FE,00,FF,H,S,,,,"DBNZ Y, ?"
FF,,,,,,,,"STOP"
